listid,listname,pj_alias,status,start_date,end_date,dev_is_available,commit_is_available,is_in_attic,sponsor,intro,istoplv,start_from_scratch,pj_url,pj_github_url
78,Chukwa,chukwa,1,7/14/2010,9/27/2013,t,t,f,"Incubator
		 
	   ","Chukwa is a log collection and analysis framework for Apache Hadoop clusters.
		 
	   ",,,http://incubator.apache.org/projects/chukwa.html,https://github.com/apache/Chukwa
79,Clerezza,clerezza,1,11/27/2009,2/20/2013,t,t,f,"Incubator
		
		(Bertrand Delacrétaz)
		 
	   ","an OSGi-based modular application and set of components (bundles) for building RESTFul Semantic Web applications and services.
		 
	   ",,,http://incubator.apache.org/projects/clerezza.html,https://github.com/apache/Clerezza
80,Click,click,1,7/21/2008,11/18/2009,t,t,t,"Incubator
		 
	   ","Component based Java Web Framework
		 
	   ",,,http://incubator.apache.org/projects/click.html,https://github.com/apache/Click
81,CloudStack,cloudstack,1,4/16/2012,3/20/2013,t,t,f,"Incubator
		
		(Jim Jagielski)
		 
	   ","CloudStack is an IaaS (“Infrastracture as a Service�? cloud orchestration platform.
		 
	   ",,,http://incubator.apache.org/projects/cloudstack.html,https://github.com/apache/CloudStack
82,CommonsRDF,commonsrdf,1,3/6/2015,11/28/2016,t,t,f,"Incubator
		
		(Lewis John McGibbney)
		 
	   ","Commons RDF is a set of interfaces and classes for RDF 1.1 concepts and behaviours.  The commons-rdf-api module defines interfaces and testing harness.  The commons-rdf-simple module provides a basic reference implementation to exercise the test harness and clarify API contracts.
		 
	   ",,,http://incubator.apache.org/projects/commonsrdf.html,https://github.com/apache/CommonsRDF
83,Cordova,cordova,1,10/15/2011,10/17/2012,t,t,f,"Incubator
		 
	   ","Apache Cordova is a platform for building native mobile applications using HTML, CSS and JavaScript (formerly Phonegap). The project entered incubation as Callback, but decided to change its name to Cordova on 2011-11-28.
		 
	   ",,,http://incubator.apache.org/projects/cordova.html,https://github.com/apache/Cordova
84,CouchDB,couchdb,1,2/12/2008,11/19/2008,t,t,f,"Incubator
		 
	   ","CouchDB
		 
	   ",,,http://incubator.apache.org/projects/couchdb.html,https://github.com/apache/CouchDB
85,Crunch,crunch,1,5/26/2012,2/20/2013,t,t,f,"Incubator
		
		(Patrick Hunt)
		 
	   ","Crunch is a Java library for writing, testing, and running pipelines of MapReduce jobs on Apache Hadoop.
		 
	   ",,,http://incubator.apache.org/projects/crunch.html,https://github.com/apache/Crunch
86,cTAKES,ctakes,1,6/11/2012,3/20/2013,t,t,f,"Incubator
		
		(Jörn Kottmann)
		 
	   ","cTAKES (clinical Text Analysis and Knowledge Extraction System) is an natural language processing tool for information extraction from electronic medical record clinical free-text.
		 
	   ",,,http://incubator.apache.org/projects/ctakes.html,https://github.com/apache/cTAKES
87,Curator,curator,1,3/11/2013,9/1/2013,t,t,f,"Incubator
		
		(Patrick Hunt)
		 
	   ","Curator - ZooKeeper client wrapper and rich ZooKeeper framework
		 
	   ",,,http://incubator.apache.org/projects/curator.html,https://github.com/apache/Curator
